Founder,Investor,Match Score
Safe Superintelligence,Tobias Lutke,90
Safe Superintelligence,01 Ventures,85
Safe Superintelligence,10D,85
Safe Superintelligence,10x Founders,85
Safe Superintelligence,1Sharpe Ventures,85
Safe Superintelligence,2048 Ventures,85
Safe Superintelligence,3TS Capital Partners,85
Safe Superintelligence,3VC,85
Safe Superintelligence,42CAP,85
Safe Superintelligence,70V,85
Safe Superintelligence,7percent Ventures,85
Safe Superintelligence,9Unicorns,85
Safe Superintelligence,Abraseed-1,85
Safe Superintelligence,Abstraction Capital,85
Safe Superintelligence,Accelerace,85
Safe Superintelligence,Act Venture Capital,85
Safe Superintelligence,Adelie Capital,85
Safe Superintelligence,Adesso Ventures,85
Safe Superintelligence,AdTay Ventures,85
Safe Superintelligence,Aglae Ventures by Groupe Arnault,85
Safe Superintelligence,AI Fund,85
Safe Superintelligence,AIP Seed VC,85
Safe Superintelligence,Airtree Ventures,85
Safe Superintelligence,Aish Capital,85
Safe Superintelligence,Alarabi Venture Capital,85
Safe Superintelligence,Aleph VC,85
Safe Superintelligence,Alfabeat,85
Safe Superintelligence,Almi Invest,85
Safe Superintelligence,Alpha Intelligence Capital,85
Safe Superintelligence,Altavia Adventures,85
Safe Superintelligence,Amit Gogia,85
Safe Superintelligence,Amiti,85
Safe Superintelligence,Ananda Impact Ventures,85
Safe Superintelligence,AnD Ventures,85
Safe Superintelligence,Angels Bay Invest,85
Safe Superintelligence,Angular Ventures,85
Safe Superintelligence,Anil Can Baykal,85
Safe Superintelligence,Antler,85
Safe Superintelligence,Apex Ventures,85
Safe Superintelligence,APX,85
Safe Superintelligence,Arc Ventures,85
Safe Superintelligence,Archangel Ventures,85
Safe Superintelligence,Arctern Ventures,85
Safe Superintelligence,Arkstons Capital,85
Safe Superintelligence,Aster Capital,85
Safe Superintelligence,Athenian VC,85
Safe Superintelligence,Atlantis Ventures,85
Safe Superintelligence,AV8,85
Safe Superintelligence,Axilor Ventures,85
Safe Superintelligence,Badhouse Ventures,85
Safe Superintelligence,Bay Street Capital Holdings,85
Safe Superintelligence,Ben Padnos,85
Safe Superintelligence,BGV Benhamou Global Ventures,85
Safe Superintelligence,Bienville Capital,85
Safe Superintelligence,Big Sur Ventures,85
Safe Superintelligence,Bigspace Investments Ltd,85
Safe Superintelligence,BIP Capital,85
Safe Superintelligence,Black Capital Ventures,85
Safe Superintelligence,Black Diamond Ventures,85
Safe Superintelligence,Black Pearls VC,85
Safe Superintelligence,Black Tech Nation Ventures,85
Safe Superintelligence,Blast.Club,85
Safe Superintelligence,Blue Collective,85
Safe Superintelligence,Blue Future Partners,85
Safe Superintelligence,Blue Heron Capital,85
Safe Superintelligence,Blueworld.Group,85
Safe Superintelligence,BlueYard Capital,85
Safe Superintelligence,Blumberg Capital,85
Safe Superintelligence,Boost Capital Partners,85
Safe Superintelligence,Bowery Capital,85
Safe Superintelligence,Breega,85
Safe Superintelligence,Brickyard,85
Safe Superintelligence,Bridge Partners,85
Safe Superintelligence,Bridgio,85
Safe Superintelligence,Brighter Capital,85
Safe Superintelligence,Brightspark Ventures,85
Safe Superintelligence,BT Growth Capital,85
Safe Superintelligence,bValue VC,85
Safe Superintelligence,Bynd Venture Capital,85
Safe Superintelligence,Cacao Capital VC,85
Safe Superintelligence,Calm Company Fund,85
Safe Superintelligence,Capital Factory,85
Safe Superintelligence,CapitalizeVC,85
Safe Superintelligence,Chandigarh Angel Network,85
Safe Superintelligence,Choco Up,85
Safe Superintelligence,Christian O. Edler,85
Safe Superintelligence,Cibersons Ventures,85
Safe Superintelligence,CIG,85
Safe Superintelligence,Cloud Capital,85
Safe Superintelligence,Comeback Capital,85
Safe Superintelligence,Connetic Ventures,85
Safe Superintelligence,Conscience,85
Safe Superintelligence,Consilience Ventures,85
Safe Superintelligence,Constantia New Business,85
Safe Superintelligence,Contrary,85
Safe Superintelligence,Conviction Investment Partners,85
Safe Superintelligence,Cool Climate Collective,85
Safe Superintelligence,Coparion,85
Safe Superintelligence,Copilot Ventures,85
Safe Superintelligence,Cornerstone Venture Partners Fund ,85
Safe Superintelligence,Correlation Ventures,85
Safe Superintelligence,Cosmos Capital Management,85
Safe Superintelligence,CouchPotato,85
Safe Superintelligence,Creandum,85
Safe Superintelligence,Creathor,85
Safe Superintelligence,CreativeCo Capital,85
Safe Superintelligence,CREDX Ventures,85
Safe Superintelligence,Cross Ocean Ventures,85
Safe Superintelligence,Crush Ventures,85
Safe Superintelligence,CRV,85
Safe Superintelligence,Da VC,85
Safe Superintelligence,DataPower Ventures,85
Safe Superintelligence,DCVC,85
Safe Superintelligence,Dedicated VC,85
Safe Superintelligence,Deep Future,85
Safe Superintelligence,Defense Angels,85
Safe Superintelligence,Delta Partners,85
Safe Superintelligence,Dexter Angels,85
Safe Superintelligence,Diaspora Ventures,85
Safe Superintelligence,DIP Capital,85
Safe Superintelligence,Direct Round,85
Safe Superintelligence,Doha Tech Angels,85
Safe Superintelligence,Dolik Ventures,85
Safe Superintelligence,Dorm Room Fund,85
Safe Superintelligence,"Dragonfly Ventures

",85
Safe Superintelligence,DU Angels,85
Safe Superintelligence,DVC,85
Safe Superintelligence,Earlybird Ventures - Digital East Fund,85
Safe Superintelligence,Earlybird Ventures - Digital West Fund,85
Safe Superintelligence,East Ventures,85
Safe Superintelligence,Eastlink Capital,85
Safe Superintelligence,eCapital Entrepreneurial Partners,85
Safe Superintelligence,Ecostar Capital,85
Safe Superintelligence,Edoardo Reggiani,85
Safe Superintelligence,Emergent Ventures,85
Safe Superintelligence,EMVC Emphasis Ventures,85
Safe Superintelligence,Encomenda Smart Capital,85
Safe Superintelligence,Entopan Innovation,85
Safe Superintelligence,EQT Ventures,85
Safe Superintelligence,Ertigen  Zoga,85
Safe Superintelligence,Ethos Fund,85
Safe Superintelligence,Ethos VC,85
Safe Superintelligence,Euclid Ventures,85
Safe Superintelligence,Evolution Equity Partners,85
Safe Superintelligence,Evolve,85
Safe Superintelligence,Expert Dojo,85
Safe Superintelligence,F4 Fund,85
Safe Superintelligence,f7 Ventures,85
Safe Superintelligence,Faraday Venture Partners,85
Safe Superintelligence,Felix Capital,85
Safe Superintelligence,Fernbrook Capital Management,85
Safe Superintelligence,Fil Rouge Capital,85
Safe Superintelligence,Fincome,85
Safe Superintelligence,FIRSTPICK,85
Safe Superintelligence,Five Elms Capital,85
Safe Superintelligence,Flash Ventures,85
Safe Superintelligence,Florian Huber,85
Safe Superintelligence,Flossbach von Storch - Innovation Hub,85
Safe Superintelligence,Form Ventures,85
Safe Superintelligence,Fortino Capital,85
Safe Superintelligence,Forward Partners,85
Safe Superintelligence,Founders Capital,85
Safe Superintelligence,Freigeist,85
Safe Superintelligence,Front Row Ventures,85
Safe Superintelligence,Frst,85
Safe Superintelligence,FTTF Fraunhofer Tech Transfer Fund,85
Safe Superintelligence,Fundamental VC,85
Safe Superintelligence,Future Positive Capital,85
Safe Superintelligence,G2VP,85
Safe Superintelligence,Gaurav Bansal,85
Safe Superintelligence,Geek Ventures,85
Safe Superintelligence,gener8tor,85
Safe Superintelligence,Gert Trekels,85
Safe Superintelligence,Giancarlo Vergine,85
Safe Superintelligence,Go Global World,85
Safe Superintelligence,GoHub Ventures,85
Safe Superintelligence,Good Company,85
Safe Superintelligence,Good News Ventures,85
Safe Superintelligence,Goose Capital,85
Safe Superintelligence,Graft Ventures,85
Safe Superintelligence,Graham & Walker,85
Safe Superintelligence,Graphene Ventures,85
Safe Superintelligence,Graphite Ventures,85
Safe Superintelligence,Grit Ventures,85
Safe Superintelligence,Ground Capital,85
Safe Superintelligence,Ground Up Ventures,85
Safe Superintelligence,Grouport Ventures,85
Safe Superintelligence,Grove Ventures,85
Safe Superintelligence,Growth Warrior Capital,85
Safe Superintelligence,Haatch,85
Safe Superintelligence,Hasoub Angels (formerly the Arab angels club),85
Safe Superintelligence,Heartcore Capital,85
Safe Superintelligence,HG Ventures by The Heritage Group,85
Safe Superintelligence,Homeroom Fund,85
Safe Superintelligence,Honey Island Capital,85
Safe Superintelligence,How Women Invest,85
Safe Superintelligence,HTGF High-Tech Gründerfonds,85
Safe Superintelligence,Hyde Park Venture Partners,85
Safe Superintelligence,IAN Fund,85
Safe Superintelligence,IBB Ventures,85
Safe Superintelligence,Icos Capital Management,85
Safe Superintelligence,Id4 Ventures,85
Safe Superintelligence,Ignite Asia,85
Safe Superintelligence,Indian Angel Network,85
Safe Superintelligence,Inference Partners,85
Safe Superintelligence,Innopact,85
Safe Superintelligence,Innovation Endeavors,85
Safe Superintelligence,Inovia Capital,85
Safe Superintelligence,InQvation,85
Safe Superintelligence,Insight Partners,85
Safe Superintelligence,Integra Groupe,85
Safe Superintelligence,Investors Club FrenchFounders,85
Safe Superintelligence,IOVC,85
Safe Superintelligence,Iris Capital,85
Safe Superintelligence,irrvrntVC,85
Safe Superintelligence,Isai,85
Safe Superintelligence,iSeed,85
Safe Superintelligence,IST cube,85
Safe Superintelligence,ISX8 Ventures,85
Safe Superintelligence,J-Ventures,85
Safe Superintelligence,J&T Ventures,85
Safe Superintelligence,J12 Ventures,85
Safe Superintelligence,Jean-Marc Royer,85
Safe Superintelligence,Jefferies,85
Safe Superintelligence,Jeltsin Neckebroek,85
Safe Superintelligence,Join Capital,85
Safe Superintelligence,JT ventures,85
Safe Superintelligence,K Fund,85
Safe Superintelligence,K9 Ventures,85
Safe Superintelligence,Kalei Ventures,85
Safe Superintelligence,Karista,85
Safe Superintelligence,Karma Ventures,85
Safe Superintelligence,Karot Capital,85
Safe Superintelligence,Keyrus,85
Safe Superintelligence,Khoob,85
Safe Superintelligence,Kima Ventures,85
Safe Superintelligence,KingsCrowd Capital,85
Safe Superintelligence,Konstantinos Giaouzos,85
Safe Superintelligence,Krane Ventures,85
Safe Superintelligence,Kreaxi,85
Safe Superintelligence,Krypton Venture Studio,85
Safe Superintelligence,Lakestar Advisors,85
Safe Superintelligence,Lea Partners,85
Safe Superintelligence,Leaders Fund,85
Safe Superintelligence,LeFonds by FrenchFounders,85
Safe Superintelligence,Lemonade Stand,85
Safe Superintelligence,Leyden Ventures,85
Safe Superintelligence,Lightbank VC,85
Safe Superintelligence,Lightbird Ventures,85
Safe Superintelligence,Ligo Partners,85
Safe Superintelligence,Likeminded.vc,85
Safe Superintelligence,Lombardstreet Ventures,85
Safe Superintelligence,Lotux,85
Safe Superintelligence,LT Capital,85
Safe Superintelligence,Lukkap Venture Lab,85
Safe Superintelligence,Lunar Ventures,85
Safe Superintelligence,LvlUp Ventures,85
Safe Superintelligence,Lyall Ventures,85
Safe Superintelligence,M Venture Partners,85
Safe Superintelligence,Madrona Venture Group,85
Safe Superintelligence,Magnivia Ventures,85
Safe Superintelligence,Manifold Ventures,85
Safe Superintelligence,Matchstick Ventures,85
Safe Superintelligence,Matthias Hilpert,85
Safe Superintelligence,Mava Ventures,85
Safe Superintelligence,Maxime Larrat,85
Safe Superintelligence,Maywic Select Investments,85
Safe Superintelligence,Mento VC,85
Safe Superintelligence,Mercury Fund,85
Safe Superintelligence,Meta3Ventures,85
Safe Superintelligence,Metaplanet,85
Safe Superintelligence,Metavallon VC,85
Safe Superintelligence,MFV Partners,85
Safe Superintelligence,Michael Taus,85
Safe Superintelligence,Miles Ahead,85
Safe Superintelligence,Mindset Ventures,85
Safe Superintelligence,Minimal Capital,85
Safe Superintelligence,Miracleplus (Former Y-Combinator China),85
Safe Superintelligence,Monochrome Capital,85
Safe Superintelligence,Monozukuri Ventures,85
Safe Superintelligence,Monte Carlo Capital,85
Safe Superintelligence,Moontide Capital,85
Safe Superintelligence,Mosaic Ventures,85
Safe Superintelligence,Motu Ventures,85
Safe Superintelligence,Movens VC,85
Safe Superintelligence,MrPink VC,85
Safe Superintelligence,Mudasar Mustafa,85
Safe Superintelligence,MVP Investments,85
Safe Superintelligence,Myelin VC,85
Safe Superintelligence,Newark Venture Partners,85
Safe Superintelligence,Newgen Venture Partners,85
Safe Superintelligence,NEXT Canada,85
Safe Superintelligence,Next47,85
Safe Superintelligence,Nextblue,85
Safe Superintelligence,NextGen Venture Partners,85
Safe Superintelligence,NextSTEP,85
Safe Superintelligence,NGP Capital,85
Safe Superintelligence,Nielsen Innovate Fund,85
Safe Superintelligence,No Such Ventures,85
Safe Superintelligence,Norrsken Accelerator,85
Safe Superintelligence,Nova Growth Capital,85
Safe Superintelligence,NovX Capital,85
Safe Superintelligence,NP-Hard Ventures,85
Safe Superintelligence,Nucleus Capital,85
Safe Superintelligence,Nunatak Capital,85
Safe Superintelligence,NXTP Ventures,85
Safe Superintelligence,NYVP New York Venture Partners,85
Safe Superintelligence,Octopus Ventures,85
Safe Superintelligence,Okta Ventures,85
Safe Superintelligence,Omnes,85
Safe Superintelligence,OneRagtime,85
Safe Superintelligence,OpenView Partners,85
Safe Superintelligence,Orange Ventures,85
Safe Superintelligence,OTF,85
Safe Superintelligence,Oxford Capital Partners,85
Safe Superintelligence,Palindrome Capital,85
Safe Superintelligence,Palm Drive Capital,85
Safe Superintelligence,Palumni VC,85
Safe Superintelligence,Pathbreaker Ventures,85
Safe Superintelligence,Pathfinder Investor,85
Safe Superintelligence,Paua Ventures,85
Safe Superintelligence,Peak,85
Safe Superintelligence,Pear Tree Ventures,85
Safe Superintelligence,Pear VC,85
Safe Superintelligence,Pentathlon Ventures,85
Safe Superintelligence,People Ventures,85
Safe Superintelligence,Philipp Angermann,85
Safe Superintelligence,Philipp Omenitsch,85
Safe Superintelligence,Phoenix Venture Partners Ltd.,85
Safe Superintelligence,Pi Campus,85
Safe Superintelligence,Pipeline Capital ,85
Safe Superintelligence,Pitchdrive,85
Safe Superintelligence,PJC,85
Safe Superintelligence,Plug & Play Ventures,85
Safe Superintelligence,Point Nine Capital,85
Safe Superintelligence,Point72 Ventures,85
Safe Superintelligence,Porto Venture,85
Safe Superintelligence,Pretiosum Ventures,85
Safe Superintelligence,PrimeCrowd,85
Safe Superintelligence,Propagator.co,85
Safe Superintelligence,Propeller Ventures,85
Safe Superintelligence,PSL Ventures,85
Safe Superintelligence,Punch Capital,85
Safe Superintelligence,Q Angels,85
Safe Superintelligence,Quantonation,85
Safe Superintelligence,Quest Venture Partners,85
Safe Superintelligence,Radical Capital,85
Safe Superintelligence,Radical Ventures,85
Safe Superintelligence,Raise Ventures,85
Safe Superintelligence,Rampersand,85
Safe Superintelligence,RareBreed Ventures,85
Safe Superintelligence,Rebel One,85
Safe Superintelligence,Redbud,85
Safe Superintelligence,Remagine Ventures,85
Safe Superintelligence,Responsibly Ventures,85
Safe Superintelligence,Reynald Lavey,85
Safe Superintelligence,Ritesh Lalwani,85
Safe Superintelligence,RiverPark Ventures,85
Safe Superintelligence,Robert Bosch Venture Capital,85
Safe Superintelligence,Roble Ventures,85
Safe Superintelligence,Rogue Opportunities ,85
Safe Superintelligence,Rogue Womens Fund,85
Safe Superintelligence,Romulus Capital,85
Safe Superintelligence,Rosecliff Ventures,85
Safe Superintelligence,Rukam Capital,85
Safe Superintelligence,Runa Capital,85
Safe Superintelligence,SaaS Ventures,85
Safe Superintelligence,SaaSholic,85
Safe Superintelligence,Saber Capital,85
Safe Superintelligence,Safar Partners,85
Safe Superintelligence,Salesforce Ventures,85
Safe Superintelligence,Salfati Group Venture Studio,85
Safe Superintelligence,Sand Hill North,85
Safe Superintelligence,Sapir Venture Partners,85
Safe Superintelligence,Scala,85
Safe Superintelligence,SCV Second Century Ventures,85
Safe Superintelligence,Seed + Speed Ventures,85
Safe Superintelligence,Seed Round Capital,85
Safe Superintelligence,Seed4Tech Venture Capital,85
Safe Superintelligence,SeedBlink,85
Safe Superintelligence,Seedventure Limited,85
Safe Superintelligence,Select Venture Equity,85
Safe Superintelligence,Selvaggia Fagioli,85
Safe Superintelligence,Senovo,85
Safe Superintelligence,Sentinel Ventures,85
Safe Superintelligence,Shape VC,85
Safe Superintelligence,Shapr Ventures,85
Safe Superintelligence,Sharpstone Capital,85
Safe Superintelligence,Shine Capital,85
Safe Superintelligence,Shizen Capital,85
Safe Superintelligence,SHRMLabs,85
Safe Superintelligence,SID Venture Partners,85
Safe Superintelligence,Sierra Ventures,85
Safe Superintelligence,Signals Venture Capital,85
Safe Superintelligence,Simpact Ventures,85
Safe Superintelligence,Sinarmas Technology,85
Safe Superintelligence,Sketchnote Partners,85
Safe Superintelligence,Slimmer AI,85
Safe Superintelligence,Smartfin,85
Safe Superintelligence,Smok Ventures,85
Safe Superintelligence,Snö Ventures,85
Safe Superintelligence,Socii Capital,85
Safe Superintelligence,Source Ventures,85
Safe Superintelligence,South Central Ventures,85
Safe Superintelligence,Sparking Capital,85
Safe Superintelligence,Spaze Ventures,85
Safe Superintelligence,Speciale Invest,85
Safe Superintelligence,Spring Invest,85
Safe Superintelligence,Sprout Fund,85
Safe Superintelligence,Square Peg,85
Safe Superintelligence,Starlight Ventures,85
Safe Superintelligence,StartCapital Partners,85
Safe Superintelligence,StartersHub,85
Safe Superintelligence,Startup Wise Guys,85
Safe Superintelligence,Steamwork Ventures,85
Safe Superintelligence,Storm Ventures,85
Safe Superintelligence,Strange Ventures,85
Safe Superintelligence,StratMinds VC,85
Safe Superintelligence,Striking Markets,85
Safe Superintelligence,Studio Sia Partners,85
Safe Superintelligence,Supernode Ventures,85
Safe Superintelligence,SuperSeed,85
Safe Superintelligence,Sure Valley Ventures,85
Safe Superintelligence,Susa Ventures,85
Safe Superintelligence,Swanlaab Venture Factory,85
Safe Superintelligence,Sway Ventures,85
Safe Superintelligence,TA Ventures,85
Safe Superintelligence,Taram Capital,85
Safe Superintelligence,Target Global,85
Safe Superintelligence,Tech Square Ventures,85
Safe Superintelligence,TechAviv Founder Partners,85
Safe Superintelligence,Techhub Invest,85
Safe Superintelligence,TechOne Ventures,85
Safe Superintelligence,TECS Capital,85
Safe Superintelligence,TenOneTen Ventures,85
Safe Superintelligence,Tera Ventures,85
Safe Superintelligence,The Techshop SGR,85
Safe Superintelligence,Tomcat Capital,85
Safe Superintelligence,TPY Capital,85
Safe Superintelligence,Treble Capital,85
Safe Superintelligence,Treeo VC,85
Safe Superintelligence,TrueSight Ventures,85
Safe Superintelligence,Tsingyuan Ventures,85
Safe Superintelligence,Tyche Partners,85
Safe Superintelligence,Ufi Ventures,85
Safe Superintelligence,Ugly Duckling Ventures,85
Safe Superintelligence,Underline Ventures,85
Safe Superintelligence,Uno Ventures,85
Safe Superintelligence,Van Wickle Ventures,85
Safe Superintelligence,Vanagon Ventures,85
Safe Superintelligence,Vantra,85
Safe Superintelligence,Vektor Partners,85
Safe Superintelligence,Vendep Capital,85
Safe Superintelligence,Ventech,85
Safe Superintelligence,Venture Catalysts,85
Safe Superintelligence,Venture Inc,85
Safe Superintelligence,Venture MENA,85
Safe Superintelligence,VentureFriends,85
Safe Superintelligence,VentureSouth,85
Safe Superintelligence,Versatile VC,85
Safe Superintelligence,Vertex Ventures Israel,85
Safe Superintelligence,Vertex Ventures US,85
Safe Superintelligence,VI Partners,85
Safe Superintelligence,Vibranium.VC,85
Safe Superintelligence,Village Global,85
Safe Superintelligence,Virtual Network,85
Safe Superintelligence,Walter Ventures,85
Safe Superintelligence,Wavemaker Partners,85
Safe Superintelligence,Wellstreet,85
Safe Superintelligence,Wenvest Capital,85
Safe Superintelligence,WestTech Ventures,85
Safe Superintelligence,XAnge,85
Safe Superintelligence,Yellow Rocks,85
Safe Superintelligence,YZR Capital,85
Safe Superintelligence,Z2Sixty Ventures,85
Safe Superintelligence,100x VC,85
Safe Superintelligence,10x VenturecPatners,85
Safe Superintelligence,3one4 cap,85
Safe Superintelligence,Aakrit Vaish,85
Safe Superintelligence,Aaron Skonnard,85
Safe Superintelligence,Aayush Phumbhra,85
Safe Superintelligence,Abbie Strabala,85
Safe Superintelligence,"Abhishek Goyal
",85
Safe Superintelligence,"Abhishek Nag
",85
Safe Superintelligence,Abhishek Rungta,85
Safe Superintelligence,"Accel (India)
",85
Safe Superintelligence,Achim Weiss,85
Safe Superintelligence,Adam Ayers,85
Safe Superintelligence,"Adam Besvinick
",85
Safe Superintelligence,Adam Godson,85
Safe Superintelligence,Aditya Singh,85
Safe Superintelligence,Adrian Locher,85
Safe Superintelligence,"Ah Ventures
",85
Safe Superintelligence,Aidan Corbett,85
Safe Superintelligence,Aileen Lee,85
Safe Superintelligence,"Ajai Chowdhry
",85
Safe Superintelligence,"Ajay Lavakare
",85
Safe Superintelligence,Ajeet Singh Balwant Singh Khurana,85
Safe Superintelligence,Alain Mevellec,85
Safe Superintelligence,Alani Capital,85
Safe Superintelligence,Albert Sisto,85
Safe Superintelligence,Alberto Perlman,85
Safe Superintelligence,Alejandra Martinez,85
Safe Superintelligence,Alex Bass,85
Safe Superintelligence,Alex Eckelberry,85
Safe Superintelligence,Alex Gostomelsky,85
Safe Superintelligence,Alex Khein,85
Safe Superintelligence,Alex O'Byrne,85
Safe Superintelligence,Alex Rigby,85
Safe Superintelligence,Alex Tomsovic,85
Safe Superintelligence,Alexander Aghassipour,85
Safe Superintelligence,Alexander Kvamme,85
Safe Superintelligence,Alexander Torrenegra,85
Safe Superintelligence,Ali Moiz,85
Safe Superintelligence,Alicia Navarro,85
Safe Superintelligence,Allen Gannett,85
Safe Superintelligence,Allinaz Life Ventures,85
Safe Superintelligence,Ally Warson,85
Safe Superintelligence,"Alok Mittal
",85
Safe Superintelligence,"Aloke Bajpai
",85
Safe Superintelligence,Aman Narang,85
Safe Superintelligence,Amar Chokhawala,85
Safe Superintelligence,"Amit Gupta
",85
Safe Superintelligence,Amit Lakhotia,85
Safe Superintelligence,"Amit Lakhotia
",85
Safe Superintelligence,"Amit Patni
",85
Safe Superintelligence,"Amit Ranjan
",85
Safe Superintelligence,"Amit Singal
",85
Safe Superintelligence,Amit Singhal,85
Safe Superintelligence,"Amit Somani
",85
Safe Superintelligence,Amitt Mahajan,85
Safe Superintelligence,"Anand Chandrasekaran
",85
Safe Superintelligence,"Anand Ladsariya
",85
Safe Superintelligence,Andre Haddad,85
Safe Superintelligence,Andrew Parker,85
Safe Superintelligence,Andrew Roosevelt,85
Safe Superintelligence,"Andrew Trader (""AT"")",85
Safe Superintelligence,Andrew Wright,85
Safe Superintelligence,Andrus Purde,85
Safe Superintelligence,Andy Monfried,85
Safe Superintelligence,"Angel networks (IAN, MAN, etc)
",85
Safe Superintelligence,"Anjali Bansal
",85
Safe Superintelligence,Ankur Nagpal,85
Safe Superintelligence,"Ankur Warikoo
",85
Safe Superintelligence,Ann Bordetsky,85
Safe Superintelligence,Anne Dwane,85
Safe Superintelligence,"Anoop Mathur
",85
Safe Superintelligence,Anthony Casalena,85
Safe Superintelligence,Anthony Soohoo,85
Safe Superintelligence,Anthony Zepponi,85
Safe Superintelligence,"Antler
",85
Safe Superintelligence,Antoine Martin,85
Safe Superintelligence,"Anupam Mittal
",85
Safe Superintelligence,"Apoorv Ranjan Sharma
",85
Safe Superintelligence,Archie Norman,85
Safe Superintelligence,Ariana Thacker,85
Safe Superintelligence,Ariel Cohen,85
Safe Superintelligence,"Arjun Seth
",85
Safe Superintelligence,"Arpan Sheth
",85
Safe Superintelligence,Arram Sabeti,85
Safe Superintelligence,Ashish Goel,85
Safe Superintelligence,Ashley Gautreaux,85
Safe Superintelligence,Assaf Rappaport,85
Safe Superintelligence,Astasia Myers,85
Safe Superintelligence,Aurelia Ventures,85
Safe Superintelligence,Aurelia Ventures,85
Safe Superintelligence,Auren Hoffman,85
Safe Superintelligence,Axilor,85
Safe Superintelligence,"Balaji S. Srinivasan
",85
Safe Superintelligence,Barak Kaufman,85
Safe Superintelligence,Bastian Lehmann,85
Safe Superintelligence,Becky Yang,85
Safe Superintelligence,"Beenext
",85
Safe Superintelligence,Beerud Sheth,85
Safe Superintelligence,Ben Ling,85
Safe Superintelligence,Bengt Nilsson,85
Safe Superintelligence,Benjamin Law,85
Safe Superintelligence,Bernie Waldron,85
Safe Superintelligence,Bevan Slattery,85
Safe Superintelligence,"Bikky Khosla
",85
Safe Superintelligence,"Bipin Shah
",85
Safe Superintelligence,Bismarck Lepe,85
Safe Superintelligence,Black Tech Nation Ventures,85
Safe Superintelligence,Blue Collective,85
Safe Superintelligence,Blue Collective,85
Safe Superintelligence,Blume,85
Safe Superintelligence,Boaz Hecht,85
Safe Superintelligence,Boris Bogaert,85
Safe Superintelligence,Brad Holden,85
Safe Superintelligence,Bradley Horowitz,85
Safe Superintelligence,Brandon Deer,85
Safe Superintelligence,Brandon Metcalf,85
Safe Superintelligence,Brendon Kim,85
Safe Superintelligence,Brian Dixon,85
Safe Superintelligence,"Campus Fund
",85
Safe Superintelligence,"Cat Hernandez
",85
Safe Superintelligence,CDM Capital,85
Safe Superintelligence,"Chandu Nair
",85
Safe Superintelligence,"Chang Xu
",85
Safe Superintelligence,"Charles Hudson
",85
Safe Superintelligence,Charles Seybold,85
Safe Superintelligence,"Charlie Pinto
",85
Safe Superintelligence,"Chiratae
",85
Safe Superintelligence,Chris Burry,85
Safe Superintelligence,Chris Fanini,85
Safe Superintelligence,"Chris Howard
",85
